distorted_folder,scene,method,MOSs,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8,Subject 9,Subject 10,Subject 11,Subject 12,Subject 13,Subject 14,Subject 15,Subject 16,Subject 17,Subject 18,Subject 19,Subject 20,Subject 21,Subject 22,Subject 23,Subject 24,Subject 25,Subject 26,Subject 27,Subject 28,Subject 29,Subject 30,Subject 31,Subject 32,Subject 33,Subject 34,Subject 35,Subject 36,Subject 37,Subject 38,Subject 39,Subject 40,Subject 41,Subject 42,Subject 43,Subject 44,Subject 45,Subject 46,Subject 47,MOS,MOSss
dvgo_chair_C-F_51k_102k,chair,dvgo_C-F_51k_102k,2.3524,2,4,2,6,4,8,8,5.6,6,5.4,6,4,4,7,4.6,1,7,3,1,3,5,5,3,7,2,3,3,5,6,2,8,6,7,3,3,2,,,,,,,,,,,,4.4889,3.3808
dvgo_chair_F_2048k,chair,dvgo_F_2048k,4.0107,6,8,8,10,8,8,8.6,8,7.6,8,10,8,6,9,8,8,10,,10,9,10,6,8,10,9,9,,7,8,9,7,8,7,7,8,8,,,,,,,,,,,,8.2118,7.5268
instantNGP_chair_gRes_8,chair,instantNGP_gRes_8,3.2158,4,6,6,6,6,6,8,6.4,6,8,8,6,6,8,6,5,9,3,8,6,6,7,6,8,7,6,,6,8,8,5,9,8,4,4,6,,,,,,,,,,,,6.44,5.5394
instantNGP_chair_HM_16,chair,instantNGP_HM_16,4.1678,,8,8,,8,8,8,9.4,8.2,8,8,9,10,8,10,9,10,8,10,8,9,8,8,10,10,8,7,8,,10,9,7,,10,8,9,,,,,,,,,,,,8.6438,7.9195
plenoxel_chair_default,chair,plenoxel_default,3.9938,8,6,10,6,8,6.8,8,9,7.2,6,9.2,8,6,8,10,7,9,6,8,10,9,8,9,10,9,10,6,8,9,9,10,7,6,6,9,9,,,,,,,,,,,,8.0612,7.4843
plenoxel_chair_SH_1,chair,plenoxel_SH_1,3.5506,6,6,6,4,6,6.8,8.8,7.6,7.4,7,6,6,8,6,8,7,8,4,8,8,8,7,10,10,7,8,,8,8,7,8,8,8,6,7,9,,,,,,,,,,,,7.2458,6.3764
tensoRF_chair_VM,chair,tensoRF_VM,4.5718,8,,10,,10,9,8.8,10,9.2,10,10,10,10,10,9.6,10,9,8,8,10,9,8,10,10,10,10,8,9,9,10,10,10,,9,9,10,,,,,,,,,,,,9.4122,8.9294
tensoRF_chair_CP_SH_32,chair,tensoRF_CP_SH_32,2.4794,4,4,6,6,4,3.8,2.6,6.2,4.4,8,8,6,5.6,6,5,1,6,2,1,8,4,7,1,7,2,8,2,7,6,2,5,5,6,4,5,4,,,,,,,,,,,,4.7945,3.6983
dvgo_hotdog_C-F_51k_102k,hotdog,dvgo_C-F_51k_102k,2.4093,6,4,6,6,4,2,6,6,2,6,6,4,6,6,6,6,2,6,6,4,6,4,6,6,6,6,3,5,,3,,4,4,,4,3,8,2,3,5,2,5,6,8,3,4,6,4.8182,3.5233
dvgo_hotdog_F_2048k,hotdog,dvgo_F_2048k,3.9911,8,8,8,8,,8,8,8,,8,8,,8,8,8,8,,8,8,6,8,,8,8,8,8,,,,,,,,,,,,,,8,,,8,,8,8,8,7.9231,7.4776
instantNGP_hotdog_gRes_8,hotdog,instantNGP_gRes_8,3.3971,,,8,,6,6,8,6,6,6,8,6,8,8,8,8,4,8,8,8,8,8,6,6,6,8,5,6,,8,,6,6,,10,8,9,3,5,7,,6,7,7,4,6,9,6.85,5.9926
instantNGP_hotdog_HM_16,hotdog,instantNGP_HM_16,4.2854,,,8,,8,10,8,8,8,8,8,8,8,10,10,8,6,8,8,10,,10,8,8,8,8,9,10,,10,,,7,,9,10,10,10,8,9,10,8,9,7,8,8,9,8.5898,8.2134
plenoxel_hotdog_default,hotdog,plenoxel_default,4.0691,10,10,6,10,8,8,6,8,,10,6,8,6,8,8,8,10,8,8,6,8,10,8,8,8,8,10,10,,10,,5,8,,10,5,10,10,8,8,5,9,10,10,7,9,7,8.2094,7.6728
plenoxel_hotdog_SH_1,hotdog,plenoxel_SH_1,3.4034,8,8,6,8,6,6,6,6,,6,6,6,6,6,6,6,8,6,6,4,6,10,6,6,6,6,7,10,,10,,5,7,,10,5,9,8,9,9,5,8,6,10,6,6,7,6.907,6.0084
tensoRF_hotdog_VM,hotdog,tensoRF_VM,4.3215,10,10,8,10,10,8,8,10,6,10,8,8,8,10,10,8,8,8,8,10,8,10,8,10,8,8,9,10,,10,,,8,,10,8,10,8,10,8,9,9,10,7,9,9,7,8.814,8.3036
tensoRF_hotdog_CP_SH_32,hotdog,tensoRF_CP_SH_32,2.0554,6,6,4,6,6,2,4,4,2,6,4,4,4,4,4,4,4,4,4,2,4,6,4,4,4,4,1,4,,3,,5,6,,3,2,6,2,3,6,2,3,6,,2,2,4,3.9535,2.6385
dvgo_materials_C-F_51k_102k,materials,dvgo_C-F_51k_102k,1.342,2,2,2,2,4,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,1,,,3,,3,4,,0,,,2,4,4,1,5,,,1,2,1,2.2821,2.366
dvgo_materials_F_2048k,materials,dvgo_F_2048k,2.5266,4,4,2,4,6,6,2,6,2,4,2,6,2,4,4,4,6,4,4,4,4,8,4,4,4,4,8,9,,6,,4,6,,,,8,4,4,9,7,6,9,8,5,6,7,5.0953,3.8165
instantNGP_materials_gRes_8,materials,instantNGP_gRes_8,2.5802,,,4,,6,6,4,6,2,6,4,6,4,6,6,4,4,4,4,4,4,4,4,6,4,4,5,9,,8,,4,8,,3,,8,5,6,2,8,5,7,7,4,3,8,5.15,3.9503
instantNGP_materials_HM_16,materials,instantNGP_HM_16,3.2876,,,6,,6,8,6,8,,6,6,8,6,6,6,6,6,6,6,6,6,8,6,6,6,6,7,8,,8,,5,7,,7,,,7,6,6,,6,7,7,7,5,,6.4723,5.719
plenoxel_materials_default,materials,plenoxel_default,3.1086,6,6,4,6,6,10,4,8,2,6,4,8,4,6,6,4,10,4,4,4,4,8,4,6,4,4,7,6,,10,,7,8,,8,,10,5,4,7,8,7,8,7,8,5,8,6.1628,5.2714
plenoxel_materails_SH_1,materials,plenoxel_materails_SH_1,2.1766,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,5,,,,,,,,,,,,,,4.5,,4,,,4.6,,4.8,4.1036,2.9415
tensoRF_materials_VM,materials,tensoRF_VM,3.2197,6,6,4,6,6,6,4,4,4,6,4,8,4,6,6,6,8,6,6,6,6,4,6,6,6,6,5,9,,10,,7,8,,9,,10,7,6,5,8,8,8,7,8,6,9,6.4187,5.5491
tensoRF_materials_CP_SH_32,materials,tensoRF_CP_SH_32,2.2556,4,4,4,4,4,,4,6,,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,6,,3,,,,,,6,,4,,3,5,,5,,5,4.2813,3.1389
dvgo_mic_C-F_51k_102k,mic,dvgo_C-F_51k_102k,1.9195,2,2,2,,2,2.8,4,4,3.6,4,4,5,4,2,,1,6,,1,,4,5,,4,,3,3,4,1,1,2,4,,2,1,4,,,,,,,,,,,,3.0138,2.2986
dvgo_mic_F_2048k,mic,dvgo_F_2048k,3.3405,4,4,8,10,6,6.2,6,6,6.8,4,6,7,8,4,7.6,7,9,,6,,4,6,,6,,8,6,8,8,9,,7,8,8,4,9,,,,,,,,,,,,6.6646,5.8513
instantNGP_mic_gRes_8,mic,instantNGP_gRes_8,2.9946,4,4,8,8,6,5.8,6,5.6,5,4,4,8,7.6,4,6,5,8,,6,,6,7,,4,,6,5,8,6,6,3,6,9,6,2,8,,,,,,,,,,,,5.8438,4.9864
