video_id,loss,mse,mos,pred_score,rmse
dvgo_chair_C-F_51k_102k,1.9925351,4.0224085,4.4889,0.15871884,2.0055943
dvgo_chair_F_2048k,4.2227893,17.858925,8.211799999999998,0.07324455,4.225982
dvgo_fortress_voxels_128,2.8357565,8.118704,5.2875000000000005,0.1619528,2.849334
dvgo_fortress_voxels_64,1.4746801,2.2167306,2.4517,0.27892503,1.488869
dvgo_horns_voxels_128,3.6121726,13.084078,6.4048,0.13908198,3.617192
dvgo_horns_voxels_64,1.6988078,2.910057,3.5349,0.20663653,1.705889
dvgo_hotdog_C-F_51k_102k,1.6761942,2.863834,4.818199999999999,0.11784244,1.6922866
dvgo_hotdog_F_2048k,3.8254688,14.755542,7.923100000000001,0.06899988,3.8412943
dvgo_materials_C-F_51k_102k,0.20314784,0.07720513,2.2821,0.16598448,0.2778581
dvgo_materials_F_2048k,1.7269776,3.1368737,5.095300000000001,0.105684854,1.7711222
dvgo_mic_C-F_51k_102k,0.67447877,0.48490745,3.0138,0.16942433,0.69635296
dvgo_mic_F_2048k,2.7216568,7.4820957,6.6646,0.07573836,2.735342
dvgo_room_voxels_128,2.1404126,4.645647,5.0625,0.13115977,2.1553762
dvgo_room_voxels_64,0.94014055,0.91530687,2.72,0.21108325,0.9567167
dvgo_trex_voxels_128,2.528931,6.4073873,5.2875000000000005,0.14108238,2.5312817
dvgo_trex_voxels_64,0.74294716,0.56340593,2.4517,0.21655822,0.75060374
instantNGP_chair_HM_16,4.121681,17.027807,8.6438,0.050772127,4.1264763
instantNGP_chair_gRes_8,3.519431,12.447049,6.439999999999999,0.13122715,3.5280375
instantNGP_hotdog_HM_16,4.2557673,18.237076,8.589799999999999,0.05888719,4.2704887
instantNGP_hotdog_gRes_8,3.427042,11.775,6.849999999999999,0.10177814,3.4314718
instantNGP_materials_HM_16,3.1800437,10.139327,6.472300000000001,0.108999446,3.184231
instantNGP_materials_gRes_8,1.7847873,3.203084,5.149999999999999,0.10485649,1.7897161
instantNGP_mic_HM_16,2.5527668,6.566168,7.400000000000001,0.03912481,2.5624535
instantNGP_mic_gRes_8,2.212051,4.987532,5.843800000000001,0.09118496,2.2332783
plenoxel_chair_SH_dim_1,3.5281365,12.490486,7.245800000000002,0.08644117,3.5341883
plenoxel_chair_default,3.829957,14.741804,8.0612,0.06281481,3.8395057
plenoxel_fortress_SH_1,2.7681725,7.8648143,5.8813,0.12062222,2.8044276
plenoxel_fortress_default,4.0311427,16.547817,7.4875,0.10192078,4.0679007
plenoxel_horns_SH_1,3.993777,16.450735,7.4187,0.10510877,4.0559506
plenoxel_horns_default,4.1125717,17.553211,7.9286,0.08594205,4.1896553
plenoxel_hotdog_SH_dim_1,2.9483886,8.837168,6.906999999999998,0.07551351,2.9727373
plenoxel_hotdog_default,3.803752,14.692964,8.2094,0.056699008,3.8331401
plenoxel_materials_SH_dim_1,1.5975174,2.599689,4.1036,0.15802467,1.6123551
plenoxel_materials_default,2.645174,7.2108917,6.1628,0.09802631,2.6853104
plenoxel_mic_SH_dim_1,1.4538162,2.1940234,4.862499999999999,0.10292368,1.4812236
plenoxel_mic_default,2.014923,4.285362,6.7438,0.04449891,2.0701115
plenoxel_room_SH_1,1.0606316,1.3536378,4.2,0.11927312,1.1634594
plenoxel_room_default,1.7949499,3.481372,5.5125,0.08803218,1.8658435
plenoxel_trex_SH_1,3.2464,10.59095,6.441900000000002,0.11471062,3.254374
plenoxel_trex_default,3.3458564,11.28143,6.814,0.09974194,3.358784
tensorf_chair_CP_SH_32,2.7872715,7.823257,5.162500000000001,0.16708595,2.7970085
tensorf_chair_VM,4.5444636,20.75042,9.4122,0.038793772,4.555263
tensorf_fortress_VM_MLP,4.2385287,18.069918,8.131299999999998,0.07832994,4.2508726
tensorf_fortress_VM_SH_16,4.092419,16.9,7.748,0.09038523,4.110961
tensorf_horns_VM_MLP,4.862097,23.936577,9.1861,0.06055192,4.8925023
tensorf_horns_VM_SH_16,4.6221504,21.603268,8.4147,0.084158584,4.6479316
tensorf_hotdog_CP_SH_32,1.5152555,2.4658384,3.953499999999999,0.16355911,1.5702988
tensorf_hotdog_VM,4.2337127,18.158146,8.813999999999998,0.049982242,4.2612376
tensorf_materials_CP_SH_32,2.2704096,5.175685,4.281300000000001,0.19325271,2.2750132
tensorf_materials_VM,2.9538555,8.864222,6.4187,0.10030199,2.9772842
tensorf_mic_CP_SH_32,2.7121465,7.410287,5.162500000000001,0.16188274,2.7221842
tensorf_mic_VM,3.1484604,10.204684,7.931299999999998,0.04309555,3.194477
tensorf_room_VM_MLP,2.0849411,4.6196084,6.1162,0.073101096,2.1493275
tensorf_room_VM_SH_16,1.7173866,3.1467721,5.154899999999999,0.10220739,1.7739143
tensorf_trex_VM_MLP,5.041844,25.44491,9.186099999999998,0.06622813,5.044295
tensorf_trex_VM_SH_16,3.3042278,10.955172,6.6905,0.10383771,3.3098598
