video_id,loss,mse,mos,pred_score,rmse
dvgo_chair_C-F_51k_102k,1.0137423,1.0520154,4.4889,0.068848476,1.025678
dvgo_chair_F_2048k,4.0776477,16.639423,8.211799999999998,0.022564383,4.079145
dvgo_fortress_voxels_128,2.0563905,4.2423234,5.2875000000000005,0.08598909,2.0596902
dvgo_fortress_voxels_64,0.8586232,0.77820426,2.4517,0.2010354,0.8821589
dvgo_horns_voxels_128,2.7397895,7.532936,6.4048,0.05551427,2.7446194
dvgo_horns_voxels_64,1.135281,1.3233571,3.5349,0.14438835,1.1503726
dvgo_hotdog_C-F_51k_102k,1.339847,1.8777537,4.818199999999999,0.06862405,1.3703115
dvgo_hotdog_F_2048k,3.8901887,15.198965,7.923100000000001,0.029674945,3.898585
dvgo_materials_C-F_51k_102k,0.43997818,0.29904997,2.2821,0.13060561,0.5468546
dvgo_materials_F_2048k,1.4496301,2.1751535,5.095300000000001,0.056872636,1.4748402
dvgo_mic_C-F_51k_102k,0.2509217,0.09110342,3.0138,0.09315521,0.30183342
dvgo_mic_F_2048k,2.6988842,7.311597,6.6646,0.034394424,2.7039964
dvgo_room_voxels_128,1.7213649,3.0202367,5.0625,0.07826147,1.7378829
dvgo_room_voxels_64,0.62820697,0.46076426,2.72,0.16600834,0.6787962
dvgo_trex_voxels_128,1.7732755,3.1634145,5.2875000000000005,0.06610466,1.778599
dvgo_trex_voxels_64,0.0834618,0.010945185,2.4517,0.14177637,0.10461924
instantNGP_chair_HM_16,4.59024,21.109646,8.6438,0.028224716,4.5945234
instantNGP_chair_gRes_8,2.6347842,6.9749513,6.439999999999999,0.045667037,2.6410134
instantNGP_hotdog_HM_16,4.496303,20.23027,8.589799999999999,0.025419774,4.4978075
instantNGP_hotdog_gRes_8,2.9951568,8.995171,6.849999999999999,0.042181473,2.999195
instantNGP_materials_HM_16,2.8288076,8.021793,6.472300000000001,0.057025596,2.832277
instantNGP_materials_gRes_8,1.6640582,2.8023963,5.149999999999999,0.06809106,1.6740359
instantNGP_mic_HM_16,3.258741,10.627102,7.400000000000001,0.022065228,3.2599237
instantNGP_mic_gRes_8,2.1058764,4.500111,5.843800000000001,0.05039327,2.1213465
plenoxel_chair_SH_dim_1,3.57839,12.904615,7.245800000000002,0.055345755,3.5922995
plenoxel_chair_default,3.9250288,15.453691,8.0612,0.02242253,3.9311182
plenoxel_fortress_SH_1,2.4636357,6.0969663,5.8813,0.072886504,2.4692035
plenoxel_fortress_default,3.4375021,11.8320265,7.4875,0.028474888,3.4397712
plenoxel_horns_SH_1,3.5242996,12.508554,7.4187,0.039403193,3.5367434
plenoxel_horns_default,3.8435643,14.819797,7.9286,0.026014052,3.849649
plenoxel_hotdog_SH_dim_1,3.296605,11.02131,6.906999999999998,0.05935019,3.319836
plenoxel_hotdog_default,4.233508,18.037823,8.2094,0.033679675,4.2470956
plenoxel_materials_SH_dim_1,1.3529222,1.9164523,4.1036,0.11973194,1.3843598
plenoxel_materials_default,2.3956842,5.832807,6.1628,0.048342988,2.4151206
plenoxel_mic_SH_dim_1,1.4731622,2.2250872,4.862499999999999,0.074875996,1.4916726
plenoxel_mic_default,2.7371955,7.548266,6.7438,0.0315226,2.7474108
plenoxel_room_SH_1,1.0136975,1.1951176,4.2,0.08913609,1.0932144
plenoxel_room_default,1.846398,3.5148256,5.5125,0.055437624,1.8747869
plenoxel_trex_SH_1,2.6826694,7.225777,6.441900000000002,0.048896797,2.6880805
plenoxel_trex_default,2.8385894,8.080272,6.814,0.0337135,2.842582
tensorf_chair_CP_SH_32,2.0094576,4.181273,5.162500000000001,0.09147209,2.044816
tensorf_chair_VM,5.2348976,27.40944,9.4122,0.019533724,5.2354026
tensorf_fortress_VM_MLP,4.082041,16.66671,8.131299999999998,0.028526803,4.082488
tensorf_fortress_VM_SH_16,3.8290777,14.671616,7.748,0.037680935,3.8303545
tensorf_horns_VM_MLP,5.0498657,25.5204,9.1861,0.022418126,5.0517716
tensorf_horns_VM_SH_16,4.40843,19.471102,8.4147,0.031546116,4.412607
tensorf_hotdog_CP_SH_32,1.2706375,1.7408007,3.953499999999999,0.124494895,1.3193941
tensorf_hotdog_VM,4.751715,22.63639,8.813999999999998,0.027611937,4.7577715
tensorf_materials_CP_SH_32,1.4851487,2.2525187,4.281300000000001,0.11653811,1.5008394
tensorf_materials_VM,2.6371017,6.9873104,6.4187,0.047325782,2.643352
tensorf_mic_CP_SH_32,1.8615414,3.572919,5.162500000000001,0.08108327,1.8902166
tensorf_mic_VM,3.870987,15.013122,7.931299999999998,0.02775041,3.874677
tensorf_room_VM_MLP,2.3813443,5.8042836,6.1162,0.050608736,2.409208
tensorf_room_VM_SH_16,1.6162654,2.7759602,5.154899999999999,0.06439022,1.6661214
tensorf_trex_VM_MLP,5.231017,27.380178,9.186099999999998,0.03514119,5.2326074
tensorf_trex_VM_SH_16,3.0440867,9.2958355,6.6905,0.056820445,3.0489073
