video_id,loss,mse,mos,pred_score,rmse
dvgo_chair_C-F_51k_102k,1.0402043,1.1041257,4.4889,0.068805434,1.0507739
dvgo_chair_F_2048k,4.1269364,17.043152,8.211799999999998,0.02294346,4.1283355
dvgo_fortress_voxels_128,2.14082,4.596524,5.2875000000000005,0.09057809,2.1439505
dvgo_fortress_voxels_64,0.91194326,0.8696575,2.4517,0.20642282,0.9325543
dvgo_horns_voxels_128,2.794938,7.842068,6.4048,0.057186797,2.8003693
dvgo_horns_voxels_64,1.1704326,1.4030463,3.5349,0.14696859,1.1845025
dvgo_hotdog_C-F_51k_102k,1.369617,1.9525739,4.818199999999999,0.06881357,1.3973453
dvgo_hotdog_F_2048k,3.9321892,15.521968,7.923100000000001,0.02971661,3.9397929
dvgo_materials_C-F_51k_102k,0.4312365,0.28542548,2.2821,0.13161175,0.5342523
dvgo_materials_F_2048k,1.4813825,2.2674675,5.095300000000001,0.056894418,1.5058112
dvgo_mic_C-F_51k_102k,0.2559582,0.090970844,3.0138,0.09258547,0.30161372
dvgo_mic_F_2048k,2.7430596,7.549009,6.6646,0.034717597,2.747546
dvgo_room_voxels_128,1.7655367,3.1680794,5.0625,0.07974399,1.77991
dvgo_room_voxels_64,0.61644095,0.44763458,2.72,0.16577774,0.669055
dvgo_trex_voxels_128,1.8261902,3.3554764,5.2875000000000005,0.06789608,1.8317959
dvgo_trex_voxels_64,0.084389925,0.013138576,2.4517,0.14413159,0.11462363
instantNGP_chair_HM_16,4.6391363,21.55971,8.6438,0.028725138,4.6432433
instantNGP_chair_gRes_8,2.6759348,7.192419,6.439999999999999,0.04607013,2.6818686
instantNGP_hotdog_HM_16,4.5442224,20.662725,8.589799999999999,0.025775619,4.545627
instantNGP_hotdog_gRes_8,3.0389075,9.257301,6.849999999999999,0.042679872,3.0425813
instantNGP_materials_HM_16,2.8561509,8.178508,6.472300000000001,0.056733552,2.8598092
instantNGP_materials_gRes_8,1.6811969,2.8608682,5.149999999999999,0.067355864,1.6914102
instantNGP_mic_HM_16,3.3049936,10.930309,7.400000000000001,0.022212232,3.3061018
instantNGP_mic_gRes_8,2.1404083,4.6471477,5.843800000000001,0.050444145,2.1557243
plenoxel_chair_SH_dim_1,3.623325,13.225694,7.245800000000002,0.056277514,3.6367147
plenoxel_chair_default,3.9738474,15.836789,8.0612,0.022763994,3.9795463
plenoxel_fortress_SH_1,2.5412471,6.4839683,5.8813,0.0766376,2.5463638
plenoxel_fortress_default,3.4951096,12.229808,7.4875,0.02960991,3.4971142
plenoxel_horns_SH_1,3.5831664,12.9334755,7.4187,0.040917873,3.5963142
plenoxel_horns_default,3.9028878,15.28115,7.9286,0.02720774,3.909111
plenoxel_hotdog_SH_dim_1,3.3289828,11.220678,6.906999999999998,0.05948252,3.349728
plenoxel_hotdog_default,4.274952,18.380836,8.2094,0.033787016,4.2872877
plenoxel_materials_SH_dim_1,1.3606453,1.9389045,4.1036,0.11968305,1.3924456
plenoxel_materials_default,2.4262881,5.9779053,6.1628,0.0480565,2.4449756
plenoxel_mic_SH_dim_1,1.499497,2.2997675,4.862499999999999,0.07498311,1.5164984
plenoxel_mic_default,2.7841866,7.8037195,6.7438,0.031972855,2.7935138
plenoxel_room_SH_1,1.063246,1.2945498,4.2,0.09129366,1.1377828
plenoxel_room_default,1.9007478,3.7136621,5.5125,0.057050537,1.9270865
plenoxel_trex_SH_1,2.733568,7.501495,6.441900000000002,0.05008799,2.7388856
plenoxel_trex_default,2.888207,8.365362,6.814,0.034411013,2.8922937
tensorf_chair_CP_SH_32,2.0430267,4.30622,5.162500000000001,0.092539445,2.0751433
tensorf_chair_VM,5.288258,27.970625,9.4122,0.020126281,5.2887263
tensorf_fortress_VM_MLP,4.1352143,17.103449,8.131299999999998,0.029343555,4.1356316
tensorf_fortress_VM_SH_16,3.8875692,15.123416,7.748,0.039123017,3.8888836
tensorf_horns_VM_MLP,5.108702,26.118292,9.1861,0.023481645,5.1106057
tensorf_horns_VM_SH_16,4.461293,19.940413,8.4147,0.032420307,4.465469
tensorf_hotdog_CP_SH_32,1.2762448,1.7479101,3.953499999999999,0.12441938,1.3220855
tensorf_hotdog_VM,4.796905,23.064138,8.813999999999998,0.02782894,4.8025136
tensorf_materials_CP_SH_32,1.4843804,2.2506351,4.281300000000001,0.115792654,1.5002117
tensorf_materials_VM,2.6685596,7.154713,6.4187,0.047073964,2.6748295
tensorf_mic_CP_SH_32,1.8951938,3.6970687,5.162500000000001,0.08188201,1.9227763
tensorf_mic_VM,3.923274,15.418174,7.931299999999998,0.02848273,3.9265983
tensorf_room_VM_MLP,2.4357357,6.061255,6.1162,0.05209701,2.4619615
tensorf_room_VM_SH_16,1.6676623,2.9354331,5.154899999999999,0.0660269,1.7133106
tensorf_trex_VM_MLP,5.282683,27.923502,9.186099999999998,0.03602412,5.2842693
tensorf_trex_VM_SH_16,3.1076043,9.688823,6.6905,0.05913083,3.1126873
