video_id,loss,mse,mos,pred_score,rmse
dvgo_chair_C-F_51k_102k,1.0405076,1.104842,4.4889,0.068827316,1.0511147
dvgo_chair_F_2048k,4.1275926,17.048609,8.211799999999998,0.02299082,4.128996
dvgo_fortress_voxels_128,2.143596,4.608567,5.2875000000000005,0.09077821,2.1467574
dvgo_fortress_voxels_64,0.91474766,0.87478334,2.4517,0.20662494,0.9352985
dvgo_horns_voxels_128,2.7955902,7.845466,6.4048,0.057233855,2.800976
dvgo_horns_voxels_64,1.1718283,1.4062709,3.5349,0.14706919,1.1858629
dvgo_hotdog_C-F_51k_102k,1.3698294,1.952663,4.818199999999999,0.068828896,1.3973771
dvgo_hotdog_F_2048k,3.9327111,15.525915,7.923100000000001,0.029754283,3.9402938
dvgo_materials_C-F_51k_102k,0.43136176,0.28549662,2.2821,0.13162072,0.53431886
dvgo_materials_F_2048k,1.4816512,2.2683582,5.095300000000001,0.05691382,1.506107
dvgo_mic_C-F_51k_102k,0.25606796,0.09105029,3.0138,0.092410825,0.3017454
dvgo_mic_F_2048k,2.7418604,7.5424275,6.6646,0.03463118,2.7463481
dvgo_room_voxels_128,1.7672933,3.1742678,5.0625,0.079870634,1.7816474
dvgo_room_voxels_64,0.6207117,0.45299378,2.72,0.16608559,0.67304814
dvgo_trex_voxels_128,1.8279598,3.3619673,5.2875000000000005,0.06802369,1.8335668
dvgo_trex_voxels_64,0.08507664,0.013316264,2.4517,0.14431219,0.11539612
instantNGP_chair_HM_16,4.639732,21.565273,8.6438,0.028768154,4.6438427
instantNGP_chair_gRes_8,2.6763244,7.19463,6.439999999999999,0.046098277,2.6822808
instantNGP_hotdog_HM_16,4.5447054,20.667088,8.589799999999999,0.025810475,4.546107
instantNGP_hotdog_gRes_8,3.0391684,9.2587185,6.849999999999999,0.04269874,3.0428143
instantNGP_materials_HM_16,2.8564281,8.180185,6.472300000000001,0.056753587,2.8601024
instantNGP_materials_gRes_8,1.6807983,2.8598258,5.149999999999999,0.06732717,1.6911019
instantNGP_mic_HM_16,3.3041863,10.924863,7.400000000000001,0.022154098,3.305278
instantNGP_mic_gRes_8,2.1387925,4.639819,5.843800000000001,0.05032768,2.154024
plenoxel_chair_SH_dim_1,3.6246185,13.235378,7.245800000000002,0.05637079,3.638046
plenoxel_chair_default,3.9742146,15.83968,8.0612,0.02279049,3.9799094
plenoxel_fortress_SH_1,2.5445046,6.5009437,5.8813,0.076872475,2.5496948
plenoxel_fortress_default,3.497218,12.244789,7.4875,0.02976195,3.4992554
plenoxel_horns_SH_1,3.583723,12.93705,7.4187,0.04095804,3.596811
plenoxel_horns_default,3.9037447,15.287796,7.9286,0.027269565,3.9099612
plenoxel_hotdog_SH_dim_1,3.3299787,11.227253,6.906999999999998,0.059554357,3.3507094
plenoxel_hotdog_default,4.2756147,18.386482,8.2094,0.03383489,4.287946
plenoxel_materials_SH_dim_1,1.361781,1.9419676,4.1036,0.11976492,1.393545
plenoxel_materials_default,2.4266586,5.980078,6.1628,0.04808325,2.4454198
plenoxel_mic_SH_dim_1,1.4981247,2.2955043,4.862499999999999,0.07488418,1.5150921
plenoxel_mic_default,2.78349,7.799776,6.7438,0.031922694,2.7928078
plenoxel_room_SH_1,1.0657085,1.2988654,4.2,0.091471195,1.1396778
plenoxel_room_default,1.9018615,3.7183409,5.5125,0.057130862,1.9283
plenoxel_trex_SH_1,2.7356904,7.513301,6.441900000000002,0.050241034,2.7410402
plenoxel_trex_default,2.8896692,8.373938,6.814,0.034516446,2.8937757
tensorf_chair_CP_SH_32,2.04378,4.308748,5.162500000000001,0.09259376,2.0757523
tensorf_chair_VM,5.2885146,27.973328,9.4122,0.020144759,5.288982
tensorf_fortress_VM_MLP,4.136458,17.1137,8.131299999999998,0.02943326,4.136871
tensorf_fortress_VM_SH_16,3.8894882,15.138279,7.748,0.03926142,3.890794
tensorf_horns_VM_MLP,5.109588,26.127312,9.1861,0.023545556,5.1114883
tensorf_horns_VM_SH_16,4.462076,19.94722,8.4147,0.032476813,4.466231
tensorf_hotdog_CP_SH_32,1.277912,1.7516303,3.953499999999999,0.12453957,1.3234917
tensorf_hotdog_VM,4.7975554,23.07019,8.813999999999998,0.027875863,4.803144
tensorf_materials_CP_SH_32,1.4844035,2.250897,4.281300000000001,0.11579431,1.500299
tensorf_materials_VM,2.668749,7.155738,6.4187,0.04708765,2.6750212
tensorf_mic_CP_SH_32,1.8938518,3.691949,5.162500000000001,0.08178528,1.9214445
tensorf_mic_VM,3.9227002,15.413631,7.931299999999998,0.02844143,3.92602
tensorf_room_VM_MLP,2.436618,6.0657916,6.1162,0.05216065,2.4628828
tensorf_room_VM_SH_16,1.6685514,2.9390345,5.154899999999999,0.06609103,1.7143612
tensorf_trex_VM_MLP,5.284091,27.938303,9.186099999999998,0.03612566,5.28567
tensorf_trex_VM_SH_16,3.1087134,9.695544,6.6905,0.059210844,3.113767
