video_id,loss,mse,mos,pred_score,rmse
dvgo_chair_C-F_51k_102k,1.2736104,1.6934335,4.4889,3.2152898,1.30132
dvgo_chair_F_2048k,3.7715092,14.250097,8.211799999999998,4.4402905,3.77493
dvgo_fortress_voxels_128,2.2648656,5.1863236,5.2875000000000005,3.0226343,2.2773502
dvgo_fortress_voxels_64,1.3204509,1.7990385,2.4517,1.131249,1.3412824
dvgo_horns_voxels_128,3.0228436,9.155125,6.4048,3.3819563,3.0257437
dvgo_horns_voxels_64,1.6462547,2.7266862,3.5349,1.8886453,1.6512681
dvgo_hotdog_C-F_51k_102k,1.645358,2.7517097,4.818199999999999,3.172842,1.6588278
dvgo_hotdog_F_2048k,3.6623425,13.471523,7.923100000000001,4.260757,3.6703575
dvgo_materials_C-F_51k_102k,0.66923803,0.61824006,2.2821,2.935501,0.7862824
dvgo_materials_F_2048k,1.0645342,1.2250631,5.095300000000001,4.030766,1.1068257
dvgo_mic_C-F_51k_102k,0.3296862,0.14242926,3.0138,3.2212586,0.377398
dvgo_mic_F_2048k,2.2418587,5.0618324,6.6646,4.422741,2.2498517
dvgo_room_voxels_128,1.533111,2.3922698,5.0625,3.5293891,1.5466964
dvgo_room_voxels_64,0.466478,0.32135543,2.72,2.2535222,0.5668822
dvgo_trex_voxels_128,1.770437,3.159203,5.2875000000000005,3.5170631,1.7774147
dvgo_trex_voxels_64,0.1902586,0.050572276,2.4517,2.271303,0.22488281
instantNGP_chair_HM_16,4.1649103,17.375664,8.6438,4.47889,4.1684127
instantNGP_chair_gRes_8,2.6419244,7.024497,6.439999999999999,3.7980757,2.6503768
instantNGP_hotdog_HM_16,4.228016,17.919817,8.589799999999999,4.361784,4.2331805
instantNGP_hotdog_gRes_8,3.2158003,10.380287,6.849999999999999,3.6341999,3.2218454
instantNGP_materials_HM_16,2.5086293,6.3374577,6.472300000000001,3.9636707,2.5174308
instantNGP_materials_gRes_8,1.4789212,2.23342,5.149999999999999,3.6710787,1.4944631
instantNGP_mic_HM_16,2.7669113,7.6622252,7.400000000000001,4.633089,2.7680724
instantNGP_mic_gRes_8,1.814986,3.3794432,5.843800000000001,4.0288143,1.8383262
plenoxel_chair_SH_dim_1,3.15911,10.052831,7.245800000000002,4.08669,3.17062
plenoxel_chair_default,3.5460212,12.630955,8.0612,4.5151787,3.5540054
plenoxel_fortress_SH_1,2.2456138,5.166118,5.8813,3.6356862,2.2729096
plenoxel_fortress_default,3.4436557,12.010661,7.4875,4.043844,3.46564
plenoxel_horns_SH_1,3.5337849,12.624363,7.4187,3.8849154,3.553078
plenoxel_horns_default,3.7836204,14.414644,7.9286,4.1449795,3.7966623
plenoxel_hotdog_SH_dim_1,2.9197998,8.618889,6.906999999999998,3.9872003,2.9357944
plenoxel_hotdog_default,3.8329258,14.768629,8.2094,4.3764744,3.8429973
plenoxel_materials_SH_dim_1,0.90011156,0.8903659,4.1036,3.203488,0.943592
plenoxel_materials_default,1.963979,3.941391,6.1628,4.1988206,1.9852936
plenoxel_mic_SH_dim_1,0.88758206,0.8292253,4.862499999999999,3.9749181,0.91061807
plenoxel_mic_default,2.2105901,4.9333773,6.7438,4.5332103,2.2211208
plenoxel_room_SH_1,0.7852563,0.7786284,4.2,3.4147434,0.88239926
plenoxel_room_default,1.6513191,2.8234532,5.5125,3.8611805,1.6803135
plenoxel_trex_SH_1,2.755357,7.6239715,6.441900000000002,3.6865425,2.761154
plenoxel_trex_default,2.862465,8.231202,6.814,3.951535,2.869007
tensorf_chair_CP_SH_32,1.5903158,2.6522944,5.162500000000001,3.5721838,1.6285866
tensorf_chair_VM,4.813822,23.18718,9.4122,4.598378,4.8153067
tensorf_fortress_VM_MLP,3.8635015,14.95749,8.131299999999998,4.267798,3.8674915
tensorf_fortress_VM_SH_16,3.6195717,13.146108,7.748,4.128429,3.6257563
tensorf_horns_VM_MLP,4.72989,22.395409,9.1861,4.45621,4.732379
tensorf_horns_VM_SH_16,4.1134205,16.952065,8.4147,4.301279,4.1172886
tensorf_hotdog_CP_SH_32,0.98864394,1.0540456,3.953499999999999,2.964856,1.0266672
tensorf_hotdog_VM,4.332797,18.822409,8.813999999999998,4.481203,4.33848
tensorf_materials_CP_SH_32,1.1923246,1.5011954,4.281300000000001,3.0889752,1.2252328
tensorf_materials_VM,2.3108926,5.403396,6.4187,4.1078076,2.3245206
tensorf_mic_CP_SH_32,1.4315808,2.1538773,5.162500000000001,3.730919,1.4676094
tensorf_mic_VM,3.3697147,11.397367,7.931299999999998,4.561586,3.3759985
tensorf_room_VM_MLP,1.9405829,3.8849783,6.1162,4.1756167,1.9710349
tensorf_room_VM_SH_16,1.3190031,1.8672825,5.154899999999999,3.8358972,1.3664855
tensorf_trex_VM_MLP,5.037594,25.400036,9.186099999999998,4.148506,5.039845
tensorf_trex_VM_SH_16,2.9852605,8.956008,6.6905,3.705239,2.992659
