video_id,loss,mse,mos,pred_score,rmse
dvgo_chair_C-F_51k_102k,0.99961925,1.0224308,4.4889,0.06693284,1.0111532
dvgo_chair_F_2048k,4.0750947,16.618145,8.211799999999998,0.021932831,4.0765357
dvgo_fortress_voxels_128,2.058054,4.249195,5.2875000000000005,0.084993005,2.0613575
dvgo_fortress_voxels_64,0.8527608,0.7691459,2.4517,0.19832337,0.87700963
dvgo_horns_voxels_128,2.7342765,7.5035286,6.4048,0.05433537,2.7392569
dvgo_horns_voxels_64,1.1205201,1.2884246,3.5349,0.14164516,1.135088
dvgo_hotdog_C-F_51k_102k,1.3252314,1.8367758,4.818199999999999,0.06667653,1.3552771
dvgo_hotdog_F_2048k,3.8868618,15.171234,7.923100000000001,0.02891593,3.895027
dvgo_materials_C-F_51k_102k,0.4415997,0.30149612,2.2821,0.12892099,0.54908663
dvgo_materials_F_2048k,1.4441069,2.1595001,5.095300000000001,0.055678926,1.4695238
dvgo_mic_C-F_51k_102k,0.2621783,0.09880983,3.0138,0.09022305,0.31434032
dvgo_mic_F_2048k,2.696341,7.296572,6.6646,0.033640884,2.7012167
dvgo_room_voxels_128,1.7067593,2.967408,5.0625,0.07621473,1.7226166
dvgo_room_voxels_64,0.58495563,0.41210246,2.72,0.16106072,0.6419521
dvgo_trex_voxels_128,1.7625577,3.126333,5.2875000000000005,0.06445416,1.7681439
dvgo_trex_voxels_64,0.090643644,0.010525523,2.4517,0.1383809,0.10259397
instantNGP_chair_HM_16,4.5858836,21.068419,8.6438,0.027409168,4.5900345
instantNGP_chair_gRes_8,2.6271813,6.933952,6.439999999999999,0.044444952,2.6332397
instantNGP_hotdog_HM_16,4.4943275,20.212246,8.589799999999999,0.024798766,4.4958034
instantNGP_hotdog_gRes_8,2.9896178,8.961431,6.849999999999999,0.04113901,2.9935648
instantNGP_materials_HM_16,2.820275,7.973362,6.472300000000001,0.055621114,2.8237143
instantNGP_materials_gRes_8,1.6525712,2.7640717,5.149999999999999,0.06636652,1.6625497
instantNGP_mic_HM_16,3.2580569,10.622493,7.400000000000001,0.021568766,3.2592165
instantNGP_mic_gRes_8,2.0941262,4.4500318,5.843800000000001,0.048833918,2.10951
plenoxel_chair_SH_dim_1,3.5721056,12.858645,7.245800000000002,0.054114982,3.5858953
plenoxel_chair_default,3.9220397,15.428455,8.0612,0.021762177,3.9279072
plenoxel_fortress_SH_1,2.4666426,6.1104617,5.8813,0.07211966,2.4719348
plenoxel_fortress_default,3.4359436,11.820035,7.4875,0.027851174,3.4380279
plenoxel_horns_SH_1,3.5225384,12.496801,7.4187,0.0386521,3.5350816
plenoxel_horns_default,3.844087,14.823248,7.9286,0.02556052,3.8500972
plenoxel_hotdog_SH_dim_1,3.2866843,10.950742,6.906999999999998,0.05782511,3.3091905
plenoxel_hotdog_default,4.2308507,18.012365,8.2094,0.03292565,4.2440977
plenoxel_materials_SH_dim_1,1.3482474,1.9063683,4.1036,0.11794544,1.380713
plenoxel_materials_default,2.389653,5.8034563,6.1628,0.047202397,2.4090364
plenoxel_mic_SH_dim_1,1.4706366,2.216322,4.862499999999999,0.07370397,1.4887316
plenoxel_mic_default,2.7379313,7.551481,6.7438,0.031026756,2.7479959
plenoxel_room_SH_1,1.011444,1.1939569,4.2,0.08783511,1.0926833
plenoxel_room_default,1.8465289,3.5119438,5.5125,0.054651786,1.8740181
plenoxel_trex_SH_1,2.6723292,7.169419,6.441900000000002,0.047450967,2.677577
plenoxel_trex_default,2.8339665,8.054215,6.814,0.032822464,2.837995
tensorf_chair_CP_SH_32,2.0008352,4.139078,5.162500000000001,0.08970421,2.0344725
tensorf_chair_VM,5.233642,27.395937,9.4122,0.019023798,5.2341127
tensorf_fortress_VM_MLP,4.0773273,16.628107,8.131299999999998,0.027683238,4.077758
tensorf_fortress_VM_SH_16,3.8300323,14.678325,7.748,0.037136454,3.8312302
tensorf_horns_VM_MLP,5.052122,25.542908,9.1861,0.022122368,5.053999
tensorf_horns_VM_SH_16,4.4082837,19.46925,8.4147,0.030988768,4.4123974
tensorf_hotdog_CP_SH_32,1.2487769,1.6887393,3.953499999999999,0.1214645,1.299515
tensorf_hotdog_VM,4.7499275,22.617905,8.813999999999998,0.026981225,4.7558284
tensorf_materials_CP_SH_32,1.4710109,2.2103724,4.281300000000001,0.11412701,1.4867321
tensorf_materials_VM,2.6295114,6.947156,6.4187,0.04608738,2.6357458
tensorf_mic_CP_SH_32,1.85927,3.5651321,5.162500000000001,0.07986455,1.8881557
tensorf_mic_VM,3.8708594,15.010926,7.931299999999998,0.027233668,3.8743937
tensorf_room_VM_MLP,2.3843482,5.815374,6.1162,0.05007267,2.4115086
tensorf_room_VM_SH_16,1.6176809,2.7776058,5.154899999999999,0.06360084,1.666615
tensorf_trex_VM_MLP,5.2263174,27.330423,9.186099999999998,0.034230027,5.227851
tensorf_trex_VM_SH_16,3.0484755,9.324606,6.6905,0.056316238,3.0536218
